Nivel,Nivel_Nombre,Codigo,Descripcion,Codigo_Padre,Cod_Seccion,Desc_Seccion,Cod_Division,Desc_Division,Cod_Grupo,Desc_Grupo,Cod_Clase,Desc_Clase,Cod_Subclase,Desc_Subclase
1,Seccion,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",,,,,,,,
2,Division,01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",0,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",,,,,,
2,Division,02,ANIMALES VIVOS Y PRODUCTOS ANIMALES,0,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",02,ANIMALES VIVOS Y PRODUCTOS ANIMALES,,,,,,
2,Division,03,PRODUCTOS DE LA SILVICULTURA Y LA EXTRACCION DE MADERA,0,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",03,PRODUCTOS DE LA SILVICULTURA Y LA EXTRACCION DE MADERA,,,,,,
2,Division,04,PECES Y OTROS PRODUCTOS DE LA PESCA,0,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",04,PECES Y OTROS PRODUCTOS DE LA PESCA,,,,,,
3,Grupo,011,CEREALES,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,,,,
3,Grupo,012,LEGUMBRES Y TUBERCULOS,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",012,LEGUMBRES Y TUBERCULOS,,,,
3,Grupo,013,FRUTAS Y NUECES,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",013,FRUTAS Y NUECES,,,,
3,Grupo,014,SEMILLAS DE ACEITE Y FRUTOS OLEAGINOSOS,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",014,SEMILLAS DE ACEITE Y FRUTOS OLEAGINOSOS,,,,
3,Grupo,015,PLANTAS VIVAS; FLORES Y CAPULLOS CORTADOS; SEMILLAS DE FLORES Y FRUTOS; SEMILLAS DE VEGETALES,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",015,PLANTAS VIVAS; FLORES Y CAPULLOS CORTADOS; SEMILLAS DE FLORES Y FRUTOS; SEMILLAS DE VEGETALES,,,,
3,Grupo,016,CULTIVOS DE PLANTAS BEBESTIBLES Y ESPECIAS,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",016,CULTIVOS DE PLANTAS BEBESTIBLES Y ESPECIAS,,,,
3,Grupo,017,TABACO SIN ELABORAR,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",017,TABACO SIN ELABORAR,,,,
3,Grupo,018,PLANTAS UTILIZADAS EN LA FABRICACION DE AZUCAR,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",018,PLANTAS UTILIZADAS EN LA FABRICACION DE AZUCAR,,,,
3,Grupo,019,MATERIAS VEGETALES EN BRUTO N.C.P.,01,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",019,MATERIAS VEGETALES EN BRUTO N.C.P.,,,,
3,Grupo,021,ANIMALES VIVOS,02,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",02,ANIMALES VIVOS Y PRODUCTOS ANIMALES,021,ANIMALES VIVOS,,,,
3,Grupo,029,OTROS PRODUCTOS ANIMALES,02,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",02,ANIMALES VIVOS Y PRODUCTOS ANIMALES,029,OTROS PRODUCTOS ANIMALES,,,,
3,Grupo,031,MADERA SIN ELABORAR,03,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",03,PRODUCTOS DE LA SILVICULTURA Y LA EXTRACCION DE MADERA,031,MADERA SIN ELABORAR,,,,
3,Grupo,032,GOMAS NATURALES,03,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",03,PRODUCTOS DE LA SILVICULTURA Y LA EXTRACCION DE MADERA,032,GOMAS NATURALES,,,,
3,Grupo,039,OTROS PRODUCTOS DE LA SILVICULTURA,03,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",03,PRODUCTOS DE LA SILVICULTURA Y LA EXTRACCION DE MADERA,039,OTROS PRODUCTOS DE LA SILVICULTURA,,,,
3,Grupo,041,"PESCA, VIVA, FRESCA O REFRIGERADA",04,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",04,PECES Y OTROS PRODUCTOS DE LA PESCA,041,"PESCA, VIVA, FRESCA O REFRIGERADA",,,,
3,Grupo,042,"CRUSTACEOS, SIN CONGELAR; OSTRAS;  OTROS  INVERTEBRADOS ACUATICOS, VIVOS, FRESCOS O REFRIGERADOS",04,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",04,PECES Y OTROS PRODUCTOS DE LA PESCA,042,"CRUSTACEOS, SIN CONGELAR; OSTRAS;  OTROS  INVERTEBRADOS ACUATICOS, VIVOS, FRESCOS O REFRIGERADOS",,,,
3,Grupo,049,OTROS ANIMALES ACUATICOS,04,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",04,PECES Y OTROS PRODUCTOS DE LA PESCA,049,OTROS ANIMALES ACUATICOS,,,,
4,Clase,0111,TRIGO Y MORCAJO O TRANQUILLON,011,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,0111,TRIGO Y MORCAJO O TRANQUILLON,,
4,Clase,0112,MAIZ,011,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,0112,MAIZ,,
4,Clase,0113,ARROZ CON CASCARA,011,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,0113,ARROZ CON CASCARA,,
4,Clase,0114,ARROZ DESCASCARILLADO,011,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,0114,ARROZ DESCASCARILLADO,,
4,Clase,0115,CEBADA,011,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,0115,CEBADA,,
4,Clase,0116,CENTENO Y AVENA,011,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,0116,CENTENO Y AVENA,,
4,Clase,0119,OTROS CEREALES,011,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",011,CEREALES,0119,OTROS CEREALES,,
4,Clase,0121,PAPAS (PATATAS),012,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",012,LEGUMBRES Y TUBERCULOS,0121,PAPAS (PATATAS),,
4,Clase,0122,LEGUMINOSAS SECAS Y PELADAS,012,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",012,LEGUMBRES Y TUBERCULOS,0122,LEGUMINOSAS SECAS Y PELADAS,,
4,Clase,0123,OTRAS LEGUMBRES  FRESCAS O REFRIGERADAS,012,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",012,LEGUMBRES Y TUBERCULOS,0123,OTRAS LEGUMBRES  FRESCAS O REFRIGERADAS,,
4,Clase,0124,RAICES Y TUBERCULOS COMESTIBLES RICOS EN ALMIDON O INULINA,012,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",012,LEGUMBRES Y TUBERCULOS,0124,RAICES Y TUBERCULOS COMESTIBLES RICOS EN ALMIDON O INULINA,,
4,Clase,0131,DATILES  HIGOS  BANANOS  COCOS  NUECES DEL BRASIL ( CASTANAS DE PARA)   ANANAS (PINA TROPICAL)  AGUACATES  MANGOS  GUAYABAS  Y MANGOSTANES  FRESCOS O SECOS,013,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",013,FRUTAS Y NUECES,0131,DATILES  HIGOS  BANANOS  COCOS  NUECES DEL BRASIL ( CASTANAS DE PARA)   ANANAS (PINA TROPICAL)  AGUACATES  MANGOS  GUAYABAS  Y MANGOSTANES  FRESCOS O SECOS,,
4,Clase,0132,FRUTAS CITRICAS  FRESCAS O SECAS,013,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",013,FRUTAS Y NUECES,0132,FRUTAS CITRICAS  FRESCAS O SECAS,,
4,Clase,0133,UVAS  FRESCAS,013,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",013,FRUTAS Y NUECES,0133,UVAS  FRESCAS,,
4,Clase,0134,"OTRAS FRUTAS, FRESCAS",013,0,"PRODUCTOS DE LA AGRICULTURA, SILVICULTURA Y LA PESCA",01,"PRODUCTOS DE LA AGRICULTURA, LA HORTICULTURA Y LA JARDINERIA COMERCIAL",013,FRUTAS Y NUECES,0134,"OTRAS FRUTAS, FRESCAS",,
